DocumentodeLiquidacao,CodigoNotadeEmpenho,CodigoNaturezaDaDespesa,CodigoFonteDeRecurso,CodigoDetalhamentoFr,NUMERO_PROCESSO,CodigoProjetoAtividade,InstituicaoCodigoUnidadeGestora,Credor_Nome,CONTRATO,CONVENIO,Valor Original,Valor Liquido,Valor Bruto,Valor Retido,Valor Pago,Valor Liquidado a Pagar,Valor Liquido2
2022160101DL000016,2022160101NE12289,33903701,1500100102,6360,1525079/2022,XXXX,160101,KAPA CAPITAL FACILITIES LTDA,342019,0,"R$ 159,270.63","R$ 159,270.63","R$ 159,270.63",R$ 0.00,"R$ 159,270.63",R$ 0.00,159270.63
2022160101DL000017,2022160101NE12555,44905191,2999000006,3291,2022/1414415,XXXX,160101,A3 ENGENHARIA COMERCIO E REPRESENTACOES LTDA,0,0,"R$ 264,704.45","R$ 264,704.45","R$ 264,704.45",R$ 0.00,"R$ 264,704.45",R$ 0.00,264704.45
2022160101DL000018,2022160101NE12626,44905191,2999000006,3291,198033/2022,XXXX,160101,CONTAP CONSTRUTORA LTDA,0,0,"R$ 9,441.00","R$ 9,441.00","R$ 9,441.00",R$ 0.00,"R$ 9,441.00",R$ 0.00,9441
2022160101DL000019,2022160101NE12783,31909211,1500100102,0,2014/41086,XXXX,160101,DINEIA MONTEIRO CUNHA,0,0,"R$ 3,419.83","R$ 3,419.83","R$ 3,419.83",R$ 0.00,"R$ 3,419.83",R$ 0.00,3419.83
2023160101DL000001,2022160101NE06645,33903007,1500100102,0,981609/2022,XXXX,160101,MARACAJAU DISTRIBUIDORA LTDA EPP,0,0,"R$ 109,981.25","R$ 109,981.25","R$ 109,981.25",R$ 0.00,"R$ 109,981.25",R$ 0.00,109981.25
2023160101DL000002,2022160101NE12285,33903026,1500100102,0,1605522/2022,XXXX,160101,KARISTEN COM.E SERV.MECAN.E ELETRON.LTDA.,0,0,"R$ 216,844.10","R$ 216,844.10","R$ 216,844.10",R$ 0.00,"R$ 216,844.10",R$ 0.00,216844.1
2023160101DL000003,2022160101NE11493,33903320,1500100102,11112,1406396/2022,XXXX,160101,PARANA CONSTRUCOES E TRANSPORTES EIRELI,2542022,0,"R$ 292,074.12","R$ 292,074.12","R$ 292,074.12",R$ 0.00,"R$ 292,074.12",R$ 0.00,292074.12
2023160101DL000004,2022160101NE12157,33903705,1500100102,6360,1559070/2022,XXXX,160101,DIAMOND SERVIÇOS DE LIMPEZA E MÃO DE OBRA LTDA,592018,0,"R$ 26,891.40","R$ 26,891.40","R$ 26,891.40",R$ 0.00,"R$ 26,891.40",R$ 0.00,26891.4
2023160101DL000005,2022160101NE11124,33903320,1500100102,11112,1400706/2022,XXXX,160101,SOEIRO RABELO & CIA LTDA-ME,2522022,0,"R$ 33,533.10","R$ 33,533.10","R$ 33,533.10",R$ 0.00,"R$ 33,533.10",R$ 0.00,33533.1
2023160101DL000006,2022160101NE12286,33903916,1500100102,0,1605522/2022,XXXX,160101,KARISTEN COM.E SERV.MECAN.E ELETRON.LTDA.,1182019,0,"R$ 13,000.00","R$ 13,000.00","R$ 13,000.00",R$ 0.00,"R$ 13,000.00",R$ 0.00,13000
2023160101DL000007,2022160101NE11495,33903320,1500100102,11112,1411456/2022,XXXX,160101,M P LOCADORA EIRELI-EPP,3372018,0,"R$ 159,165.94","R$ 167,543.10","R$ 159,165.94",R$ 0.00,"R$ 159,165.94",R$ 0.00,167543.1
2023160101DL000008,2022160101NE11121,33903320,1500100102,11112,1400910/2022,XXXX,160101,SOEIRO RABELO & CIA LTDA-ME,2502022,0,"R$ 257,888.13","R$ 257,888.13","R$ 257,888.13",R$ 0.00,"R$ 257,888.13",R$ 0.00,257888.13
2023160101DL000009,2022160101NE11496,33903320,1500100102,11112,1400983/2022,XXXX,160101,SOEIRO RABELO & CIA LTDA-ME,2552022,0,"R$ 354,599.28","R$ 354,599.28","R$ 354,599.28",R$ 0.00,"R$ 354,599.28",R$ 0.00,354599.28
2023160101DL000010,2022160101NE10889,33903320,1500100102,11112,1400626/2022,XXXX,160101,COOPERATIVA DE TRANSP. RODOVIARIO PROD. RURAL,1192020,0,"R$ 31,964.81","R$ 31,964.81","R$ 31,964.81",R$ 0.00,"R$ 31,964.81",R$ 0.00,31964.81
2023160101DL000011,2022160101NE10888,33903320,1500100102,11112,1400783/2022,XXXX,160101,SOEIRO RABELO & CIA LTDA-ME,2602022,0,"R$ 480,031.20","R$ 480,031.20","R$ 480,031.20",R$ 0.00,"R$ 480,031.20",R$ 0.00,480031.2
2023160101DL000012,2022160101NE10890,33903320,1500100102,11112,1406264/2022,XXXX,160101,COOPERATIVA DE TRANSP. RODOVIARIO PROD. RURAL,2492022,0,"R$ 80,719.09","R$ 80,719.09","R$ 80,719.09",R$ 0.00,"R$ 80,719.09",R$ 0.00,80719.09
2023160101DL000013,2022160101NE12291,33903026,1500100102,0,1572412/2022,XXXX,160101,KARISTEN COM.E SERV.MECAN.E ELETRON.LTDA.,0,0,"R$ 293,678.01","R$ 293,678.01","R$ 293,678.01",R$ 0.00,"R$ 293,678.01",R$ 0.00,293678.01
2023160101DL000014,2022160101NE10891,33903320,1500100102,11112,1400339/2022,XXXX,160101,COOPERATIVA DE TRANSP. RODOVIARIO PROD. RURAL,3392018,0,"R$ 196,305.49","R$ 196,305.49","R$ 196,305.49",R$ 0.00,"R$ 196,305.49",R$ 0.00,196305.49
2023160101DL000015,2022160101NE11118,33903320,1500100102,11112,1401199/2022,XXXX,160101,MORAES DE LIMA TRANSPORTES E SERVICOS-EIRELI,2612022,0,"R$ 140,562.63","R$ 140,562.63","R$ 140,562.63",R$ 0.00,"R$ 140,562.63",R$ 0.00,140562.63
2023160101DL000016,2022160101NE11119,33903320,1500100102,11112,1406616/2022,XXXX,160101,M P LOCADORA EIRELI-EPP,2472022,0,"R$ 87,956.41","R$ 87,956.41","R$ 87,956.41",R$ 0.00,"R$ 87,956.41",R$ 0.00,87956.41
2023160101DL000017,2022160101NE12290,44905224,1500100102,0,1572412/2022,XXXX,160101,KARISTEN COM.E SERV.MECAN.E ELETRON.LTDA.,0,0,"R$ 41,504.32","R$ 41,504.32","R$ 41,504.32",R$ 0.00,"R$ 41,504.32",R$ 0.00,41504.32
2023160101DL000018,2022160101NE11127,33903320,1500100102,11112,1401159/2022,XXXX,160101,MORAES DE LIMA TRANSPORTES E SERVICOS-EIRELI,2572022,0,"R$ 449,335.59","R$ 449,335.59","R$ 449,335.59",R$ 0.00,"R$ 449,335.59",R$ 0.00,449335.59
2023160101DL000019,2022160101NE11647,33903320,1500100102,11112,1400474/2022,XXXX,160101,COOPERATIVA DE TRANSP. RODOVIARIO PROD. RURAL,2512022,0,"R$ 78,945.70","R$ 78,945.70","R$ 78,945.70",R$ 0.00,"R$ 78,945.70",R$ 0.00,78945.7
2023160101DL000020,2022160101NE12292,33903916,1500100102,0,1572412/2022,XXXX,160101,KARISTEN COM.E SERV.MECAN.E ELETRON.LTDA.,1182019,0,"R$ 56,333.47","R$ 56,333.47","R$ 56,333.47",R$ 0.00,"R$ 56,333.47",R$ 0.00,56333.47
2023160101DL000021,2022160101NE11857,33903320,1500100102,11112,1507689/2022,XXXX,160101,M P LOCADORA EIRELI-EPP,2472022,0,"R$ 19,545.87","R$ 19,545.87","R$ 19,545.87",R$ 0.00,"R$ 19,545.87",R$ 0.00,19545.87
2023160101DL000022,2022160101NE11678,33903320,1500100102,11112,1400162/2022,XXXX,160101,COOPERATIVA DE TRANSP. RODOVIARIO PROD. RURAL,2482022,0,"R$ 771,361.26","R$ 771,361.26","R$ 771,361.26",R$ 0.00,"R$ 771,361.26",R$ 0.00,771361.26
2023160101DL000023,2022160101NE12287,33903916,1500100102,0,1554264/2022,XXXX,160101,P1 CONSTRUTORA LTDA,1202021,0,"R$ 488,523.46","R$ 488,523.46","R$ 488,523.46",R$ 0.00,"R$ 488,523.46",R$ 0.00,488523.46
2023160101DL000024,2022160101NE12287,33903916,1500100102,0,1554264/2022,XXXX,160101,P1 CONSTRUTORA LTDA,1202021,0,"R$ 41,948.32","R$ 41,948.32","R$ 41,948.32",R$ 0.00,"R$ 41,948.32",R$ 0.00,41948.32
2023160101DL000025,2022160101NE12287,33903916,1500100102,0,1554264/2022,XXXX,160101,P1 CONSTRUTORA LTDA,1202021,0,"R$ 42,604.47","R$ 42,604.47","R$ 42,604.47",R$ 0.00,"R$ 42,604.47",R$ 0.00,42604.47
2023160101DL000026,2022160101NE12287,33903916,1500100102,0,1554264/2022,XXXX,160101,P1 CONSTRUTORA LTDA,1202021,0,"R$ 621,037.36","R$ 621,037.36","R$ 621,037.36",R$ 0.00,"R$ 621,037.36",R$ 0.00,621037.36
2023160101DL000027,2022160101NE11495,33903320,1500100102,11112,1411456/2022,XXXX,160101,M P LOCADORA EIRELI-EPP,3372018,0,"-R$ 8,377.16","R$ 167,543.10","-R$ 8,377.16",R$ 0.00,R$ 0.00,"-R$ 8,377.16",167543.1
2023160101DL000028,2022160101NE12134,33904095,1500100102,0,1554289/2022,XXXX,160101,LIP COMERCIAL LTDA,1662022,0,"R$ 81,522.85","R$ 81,522.85","R$ 81,522.85",R$ 0.00,"R$ 81,522.85",R$ 0.00,81522.85
2023160101DL000029,2022160101NE00060,33903944,1550000004,2156,34942/2022,XXXX,160101,SERVICO AUTONOMO DE AGUA E ESGOTO_RONDON DO P,0,0,R$ 303.45,R$ 303.45,R$ 303.45,R$ 0.00,R$ 303.45,R$ 0.00,303.45
2023160101DL000030,2022160101NE00069,33903944,1550000004,2156,35067/2022,XXXX,160101,HIDRO FORTE ADMINISTRACAO E OPERACAO LTDA,0,0,R$ 347.78,R$ 347.78,R$ 347.78,R$ 0.00,R$ 347.78,R$ 0.00,347.78
2023160101DL000031,2022160101NE00068,33903944,1550000004,2156,34864/2022,XXXX,160101,SERVICO AUTONOMO DE AGUA E ESGOTO DE PRIMAVER,0,0,R$ 47.92,R$ 47.92,R$ 47.92,R$ 0.00,R$ 47.92,R$ 0.00,47.92
2023160101DL000032,2022160101NE11692,33903910,1550000004,0,569532/2022,XXXX,160101,FESM FACULDADE DE ENS.SUPERIOR DO MARAJO LTDA,1412019,0,"R$ 16,261.76","R$ 16,261.76","R$ 16,261.76",R$ 0.00,"R$ 16,261.76",R$ 0.00,16261.76
2023160101DL000033,2022160101NE00072,33903944,1550000004,2156,34968/2022,XXXX,160101,SERVICO AUTONOMO DE AGUA E ESGOTO S.D.CAPIM,0,0,R$ 910.80,R$ 910.80,R$ 910.80,R$ 0.00,R$ 910.80,R$ 0.00,910.8
2023160101DL000034,2022160101NE12132,33904095,1500100102,0,1554289/2022,XXXX,160101,LIP COMERCIAL LTDA,1662022,0,"R$ 29,929.22","R$ 29,929.22","R$ 29,929.22",R$ 0.00,"R$ 29,929.22",R$ 0.00,29929.22
2023160101DL000035,2022160101NE10974,33903615,1550000004,0,342404/2022,XXXX,160101,BERNARDINO DA SILVA,1202018,0,R$ 662.00,R$ 662.00,R$ 662.00,R$ 0.00,R$ 662.00,R$ 0.00,662
2023160101DL000036,2022160101NE11430,33903615,1550000004,0,1424192/2021,XXXX,160101,ERCI COUTO DE CARVALHO,2152017,0,R$ 950.25,R$ 950.25,R$ 950.25,R$ 0.00,R$ 950.25,R$ 0.00,950.25
2023160101DL000037,2022160101NE12131,33904095,1500100102,0,1554289/2022,XXXX,160101,LIP COMERCIAL LTDA,1662022,0,"R$ 33,954.28","R$ 33,954.28","R$ 33,954.28",R$ 0.00,"R$ 33,954.28",R$ 0.00,33954.28
2023160101DL000038,2022160101NE00059,33903944,1550000004,2156,34832/2022,XXXX,160101,SERVIÇO AUTONOMO DE AGUA E ESGOTO DE CAMETÁ,0,0,R$ 0.00,R$ 400.00,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,400
2023160101DL000039,2022160101NE10733,33903615,1550000004,0,1197857/2018,XXXX,160101,ADEMAR FONSECA FERREIRA,162013,0,R$ 548.32,R$ 548.32,R$ 548.32,R$ 0.00,R$ 548.32,R$ 0.00,548.32
2023160101DL000040,2022160101NE11358,33903910,1550000004,0,504317/2022,XXXX,160101,C.M.SANTOS DOS REIS ME,392010,0,"R$ 20,124.03","R$ 20,124.03","R$ 20,124.03",R$ 0.00,"R$ 20,124.03",R$ 0.00,20124.03
2023160101DL000041,2022160101NE00070,33903944,1550000004,2156,35010/2022,XXXX,160101,SERV.AUTONOMO DE AGUA E ESGOTO DE PARAUAPEBAS,0,0,R$ 0.00,"R$ 5,000.00",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5000
2023160101DL000042,2022160101NE12138,33903917,1500100102,0,1560894/2022,XXXX,160101,IMPERADOR SOLUCOES COMERCIO E SERVICOS LTDA,72022,0,"R$ 81,227.67","R$ 81,227.67","R$ 81,227.67",R$ 0.00,"R$ 81,227.67",R$ 0.00,81227.67
2023160101DL000043,2022160101NE11222,33903910,1550000004,0,495274/2020,XXXX,160101,ACAO SOCIAL CATOLICA BEATO JOSE DE ANCHIETA,722021,0,"R$ 8,954.81","R$ 8,954.81","R$ 8,954.81",R$ 0.00,"R$ 8,954.81",R$ 0.00,8954.81
2023160101DL000044,2022160101NE02532,33903944,1550000004,2156,472323/2022,XXXX,160101,ERVICO AUTONOMO DE AGUA E ESGOTO DE CANÃA DOS CARAJÁS,0,0,R$ 63.58,R$ 63.58,R$ 63.58,R$ 0.00,R$ 63.58,R$ 0.00,63.58
2023160101DL000045,2022160101NE11237,33903910,1550000004,0,1063767/2021,XXXX,160101,CENTRO COMUNITÁRIO CÔNEGO BATISTA CAMPOS,252009,0,"R$ 10,677.99","R$ 10,677.99","R$ 10,677.99",R$ 0.00,"R$ 10,677.99",R$ 0.00,10677.99
2023160101DL000046,2022160101NE00077,33903944,1550000004,2156,34805/2022,XXXX,160101,AGUAS DE SAO FRANCISCO CONCESSIONARIA DE SANEAMENTO S.A.,0,0,R$ 0.00,R$ 589.91,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,589.91
2023160101DL000047,2022160101NE11208,33903910,1550000004,0,1319319/2019,XXXX,160101,ALBERTO MARQUES DOS SANTOS JUNIOR,122008,0,"R$ 30,793.05","R$ 30,793.05","R$ 30,793.05",R$ 0.00,"R$ 30,793.05",R$ 0.00,30793.05
2023160101DL000048,2022160101NE11705,33903910,1550000004,0,341558/2022,XXXX,160101,ARQU.DE BELEM-PAROQUIA DE N.SA.DA C.APARECIDA,2192017,0,"R$ 14,887.43","R$ 14,887.43","R$ 14,887.43",R$ 0.00,"R$ 14,887.43",R$ 0.00,14887.43
2023160101DL000049,2022160101NE12139,33903910,1550000004,0,278447/2022,XXXX,160101,ARQ.DE BELEM-PAR.N.SRA. DO CARMO,2442022,0,"R$ 14,800.00","R$ 14,800.00","R$ 14,800.00",R$ 0.00,"R$ 14,800.00",R$ 0.00,14800
2023160101DL000050,2022160101NE11313,33903910,1550000004,0,1313845/2018,XXXX,160101,CENTRO EDUCACIONAL CONEGO BATISTA CAMPOS,202009,0,"R$ 12,281.97","R$ 12,281.97","R$ 12,281.97",R$ 0.00,"R$ 12,281.97",R$ 0.00,12281.97
2023160101DL000051,2022160101NE10961,33903615,1550000004,0,1303680/2018,XXXX,160101,CATARINA RIBEIRO DOS SANTOS,182021,0,R$ 954.84,R$ 954.84,R$ 954.84,R$ 0.00,R$ 954.84,R$ 0.00,954.84
2023160101DL000052,2022160101NE11437,33903615,1550000004,0,1085353/2021,XXXX,160101,CARLOS DE SOUZA MARTINS,52013,0,R$ 423.78,R$ 423.78,R$ 423.78,R$ 0.00,R$ 423.78,R$ 0.00,423.78
2023160101DL000053,2022160101NE11431,33903910,1550000004,0,1184869/2017,XXXX,160101,ASS.INST.ED.SEM.DO AMANHA DO B.S.JOAO DO OUT.,262009,0,"R$ 9,708.99","R$ 9,708.99","R$ 9,708.99",R$ 0.00,"R$ 9,708.99",R$ 0.00,9708.99
2023160101DL000054,2022160101NE10706,33903615,1550000004,0,351385/2022,XXXX,160101,DALVA BARRETO DA TRINDADE,1572018,0,R$ 381.35,R$ 381.35,R$ 381.35,R$ 0.00,R$ 381.35,R$ 0.00,381.35
2023160101DL000055,2022160101NE11786,33903910,1550000004,0,355090/2022,XXXX,160101,ASSOCIACAO EDUCADORA SAO FRANCISCO DE ASSIS,252010,0,"R$ 20,965.75","R$ 20,965.75","R$ 20,965.75",R$ 0.00,"R$ 20,965.75",R$ 0.00,20965.75
2023160101DL000056,2022160101NE10967,33903615,1550000004,0,247003/2022,XXXX,160101,ELIZABETH DE JESUS RODRIGUES CAMARA,2632022,0,"R$ 1,140.00","R$ 1,140.00","R$ 1,140.00",R$ 0.00,"R$ 1,140.00",R$ 0.00,1140
2023160101DL000057,2022160101NE11177,33903910,1550000004,0,66311/2022,XXXX,160101,CENTRO EDUCACIONAL JOAO PAULO II LTDA-ME,62015,0,"R$ 16,621.02","R$ 16,621.02","R$ 16,621.02",R$ 0.00,"R$ 16,621.02",R$ 0.00,16621.02
2023160101DL000058,2022160101NE11443,33903615,1550000004,0,49367/2022,XXXX,160101,JOAO COSTA FLEXA,1192018,0,R$ 964.32,R$ 964.32,R$ 964.32,R$ 0.00,R$ 964.32,R$ 0.00,964.32
2023160101DL000059,2022160101NE11316,33903910,1550000004,0,1467567/2020,XXXX,160101,ASSOC.OBRAS SOCIAIS DA DIOCESE DE ABAETETUBA,192021,0,"R$ 14,082.31","R$ 14,082.31","R$ 14,082.31",R$ 0.00,"R$ 14,082.31",R$ 0.00,14082.31
2023160101DL000060,2022160101NE11302,33903615,1550000004,0,1364472/2021,XXXX,160101,JOCICLEUMA JARDINA DE MESQUITA,582017,0,R$ 336.17,R$ 336.17,R$ 336.17,R$ 0.00,R$ 336.17,R$ 0.00,336.17
2023160101DL000061,2022160101NE10573,33903615,1550000004,0,302108/2020,XXXX,160101,JOSE HENRIQUE FERREIRA MACIEL,252021,0,R$ 658.07,R$ 658.07,R$ 658.07,R$ 0.00,R$ 658.07,R$ 0.00,658.07
2023160101DL000062,2022160101NE11195,33903910,1550000004,0,68276/2022,XXXX,160101,LAR DE MARIA,52015,0,"R$ 21,034.82","R$ 21,034.82","R$ 21,034.82",R$ 0.00,"R$ 21,034.82",R$ 0.00,21034.82
2023160101DL000063,2022160101NE11947,33903910,1500100102,0,504081/2022,XXXX,160101,CARVALHO GOMES & GOMES LTDA. - ME,52014,0,"R$ 17,513.89","R$ 17,513.89","R$ 17,513.89",R$ 0.00,"R$ 17,513.89",R$ 0.00,17513.89
2023160101DL000064,2022160101NE11695,33903910,1550000004,0,263927/2022,XXXX,160101,ASSOC. DE SAO VICENTE DE PAULO DA AMAZONIA,22015,0,"R$ 40,261.02","R$ 40,261.02","R$ 40,261.02",R$ 0.00,"R$ 40,261.02",R$ 0.00,40261.02
2023160101DL000065,2022160101NE12671,33903615,1550000004,0,636377/2021,XXXX,160101,JOSE MARIA RODRIGUES PINHEIRO,2842018,0,R$ 125.50,R$ 125.50,R$ 125.50,R$ 0.00,R$ 125.50,R$ 0.00,125.5
2023160101DL000066,2022160101NE12672,33903615,1550000004,0,636377/2021,XXXX,160101,JOSE MARIA RODRIGUES PINHEIRO,2842018,0,R$ 753.00,R$ 753.00,R$ 753.00,R$ 0.00,R$ 753.00,R$ 0.00,753
2023160101DL000067,2022160101NE10972,33903615,1550000004,0,992361/2020,XXXX,160101,LONDO AUDO MAGNO PANTOJA,1902022,0,R$ 700.00,R$ 700.00,R$ 700.00,R$ 0.00,R$ 700.00,R$ 0.00,700
2023160101DL000068,2022160101NE10976,33903615,1550000004,0,48305/2022,XXXX,160101,LUZINETE DO SOCORRO ALMEIDA DE FREITAS,22016,0,R$ 512.30,R$ 512.30,R$ 512.30,R$ 0.00,R$ 512.30,R$ 0.00,512.3
2023160101DL000069,2022160101NE11308,33903615,1550000004,0,1100787/2021,XXXX,160101,MANUEL JOSE PEREIRA DE ASSUNCAO,1362022,0,R$ 700.00,R$ 700.00,R$ 700.00,R$ 0.00,R$ 700.00,R$ 0.00,700
2023160101DL000070,2022160101NE11294,33903910,1550000004,0,1201891/2021,XXXX,160101,CELIO RODRIGUES SILVA-ME,702017,0,"R$ 10,544.66","R$ 10,544.66","R$ 10,544.66",R$ 0.00,"R$ 10,544.66",R$ 0.00,10544.66
2023160101DL000071,2022160101NE11248,33903615,1550000004,0,299869/2019,XXXX,160101,MANOEL LEAO CARDOSO,732020,0,R$ 851.76,R$ 851.76,R$ 851.76,R$ 0.00,R$ 851.76,R$ 0.00,851.76
2023160101DL000072,2022160101NE11442,33903910,1550000004,0,503738/2022,XXXX,160101,CENTRO DE ESTUDOS PRINCIPE DA PAZ LTDA-ME,192010,0,"R$ 11,660.91","R$ 11,660.91","R$ 11,660.91",R$ 0.00,"R$ 11,660.91",R$ 0.00,11660.91
2023160101DL000073,2022160101NE10714,33903615,1550000004,0,504573/2022,XXXX,160101,AIRTON GONCALVES DOS PRAZERES,532017,0,R$ 714.62,R$ 714.62,R$ 714.62,R$ 0.00,R$ 714.62,R$ 0.00,714.62
2023160101DL000074,2022160101NE09599,33903615,1550000004,0,853360/2021,XXXX,160101,MARIA DE JESUS BAIA DA COSTA,1022020,0,R$ 257.92,R$ 257.92,R$ 257.92,R$ 0.00,R$ 257.92,R$ 0.00,257.92
2023160101DL000075,2022160101NE11912,33903910,1550000004,0,287634/2022,XXXX,160101,COLEGIO INDEPENDENCIA LTDA,92009,0,"R$ 6,948.69","R$ 6,948.69","R$ 6,948.69",R$ 0.00,"R$ 6,948.69",R$ 0.00,6948.69
